"","year3","jd","mean_airt","datetime"
"1",2009,1,-15.128125,2009-01-01 00:15:00
"2",2009,2,-9.14375,2009-01-02 00:15:00
"3",2009,3,-5.53958333333333,2009-01-03 00:15:00
"4",2009,4,-6.35208333333333,2009-01-04 00:15:00
"5",2009,5,-2.41458333333333,2009-01-05 00:15:00
"6",2009,6,-4.915625,2009-01-06 00:15:00
"7",2009,7,-2.590625,2009-01-07 00:15:00
"8",2009,8,-3.22708333333333,2009-01-08 00:15:00
"9",2009,9,-9.915625,2009-01-09 00:15:00
"10",2009,10,-11.13125,2009-01-10 00:15:00
"11",2009,11,-8.63333333333333,2009-01-11 00:15:00
"12",2009,12,-9.17083333333333,2009-01-12 00:15:00
"13",2009,13,-4.73958333333333,2009-01-13 00:15:00
"14",2009,14,-11.4645833333333,2009-01-14 00:15:00
"15",2009,15,-14.734375,2009-01-15 00:15:00
"16",2009,16,-16.4760416666667,2009-01-16 00:15:00
"17",2009,17,-15.2666666666667,2009-01-17 00:15:00
"18",2009,18,-7.85520833333333,2009-01-18 00:15:00
"19",2009,19,-5.58020833333333,2009-01-19 00:15:00
"20",2009,20,-7.70208333333333,2009-01-20 00:15:00
"21",2009,21,-11.346875,2009-01-21 00:15:00
"22",2009,22,-5.9125,2009-01-22 00:15:00
"23",2009,23,-0.828125,2009-01-23 00:15:00
"24",2009,24,-5.56145833333333,2009-01-24 00:15:00
"25",2009,25,-12.8510416666667,2009-01-25 00:15:00
"26",2009,26,-10.953125,2009-01-26 00:15:00
"27",2009,27,-8.64375,2009-01-27 00:15:00
"28",2009,28,-5.06770833333333,2009-01-28 00:15:00
"29",2009,29,-6.00729166666667,2009-01-29 00:15:00
"30",2009,30,-6.478125,2009-01-30 00:15:00
"31",2009,31,-9.78645833333333,2009-01-31 00:15:00
"32",2009,32,-3.275,2009-02-01 00:15:00
"33",2009,33,1.64583333333333,2009-02-02 00:15:00
"34",2009,34,-4.0875,2009-02-03 00:15:00
"35",2009,35,-10.6625,2009-02-04 00:15:00
"36",2009,36,-14.321875,2009-02-05 00:15:00
"37",2009,37,-11.1020833333333,2009-02-06 00:15:00
"38",2009,38,-2.79583333333333,2009-02-07 00:15:00
"39",2009,39,3.140625,2009-02-08 00:15:00
"40",2009,40,-2.41354166666667,2009-02-09 00:15:00
"41",2009,41,-2.07916666666667,2009-02-10 00:15:00
"42",2009,42,6.21354166666667,2009-02-11 00:15:00
"43",2009,43,4.56354166666667,2009-02-12 00:15:00
"44",2009,44,-2.871875,2009-02-13 00:15:00
"45",2009,45,-4.03020833333333,2009-02-14 00:15:00
"46",2009,46,-2.840625,2009-02-15 00:15:00
"47",2009,47,-3.56458333333333,2009-02-16 00:15:00
"48",2009,48,-4.85416666666667,2009-02-17 00:15:00
"49",2009,49,-2.878125,2009-02-18 00:15:00
"50",2009,50,-0.319791666666667,2009-02-19 00:15:00
"51",2009,51,-6.959375,2009-02-20 00:15:00
"52",2009,52,-3.984375,2009-02-21 00:15:00
"53",2009,53,-1.03958333333333,2009-02-22 00:15:00
"54",2009,54,-6.27916666666667,2009-02-23 00:15:00
"55",2009,55,-6.86458333333333,2009-02-24 00:15:00
"56",2009,56,-4.503125,2009-02-25 00:15:00
"57",2009,57,0.422916666666667,2009-02-26 00:15:00
"58",2009,58,6.6,2009-02-27 00:15:00
"59",2009,59,-1.34270833333333,2009-02-28 00:15:00
"60",2009,60,-5.84479166666667,2009-03-01 00:15:00
"61",2009,61,-9.02083333333333,2009-03-02 00:15:00
"62",2009,62,-10.6447916666667,2009-03-03 00:15:00
"63",2009,63,-8.68020833333333,2009-03-04 00:15:00
"64",2009,64,-4.01666666666667,2009-03-05 00:15:00
"65",2009,65,3.33854166666667,2009-03-06 00:15:00
"66",2009,66,7.45520833333333,2009-03-07 00:15:00
"67",2009,67,7.47608695652174,2009-03-08 00:15:00
"68",2009,68,-1.07708333333333,2009-03-09 00:15:00
"69",2009,69,0.221875,2009-03-10 00:15:00
